"movieId","numRatings","ratingAvg"
3,49695,3.921239561324077
4,22243,3.2119768016904193
5,12735,3.1510404397330194
6,2756,2.8613933236574747
7,12161,3.064591727653976
8,23899,3.8349303318130468
9,12961,3.3664840675873777
10,1415,3.142049469964664
11,3960,3.0049242424242424
12,29005,3.430029305292191
13,18162,3.667712806959586
14,3845,2.6197659297789335
15,1461,3.272416153319644
16,6022,3.432082364662903
17,2910,2.7219931271477664
18,17394,3.7874554444061173
19,20667,3.9685730875308463
20,5203,3.3736305977320775
21,20938,2.6074123603018435
22,4084,2.8807541625857005
23,24116,3.581688505556477
24,9928,3.319399677679291
25,4250,3.1482352941176472
26,7971,3.199849454271735
27,21553,3.689509581032803
28,2755,3.628856624319419
29,1642,3.413520097442144
30,3154,4.057545973367152
31,8520,3.952230046948357
32,1281,3.633879781420765
33,9435,3.250344462109168
34,44980,3.8980546909737663
35,65,3.0076923076923077
36,32255,3.6430940939389242
37,1493,3.5016744809109177
38,20809,3.9427170935652844
39,85,3.0176470588235293
40,552,2.857789855072464
41,26254,3.413632208425383
42,886,3.646726862302483
43,4689,3.8521006611217743
44,2467,3.0551276854479124
45,2552,3.4684561128526648
46,10697,2.653874918201365
47,8933,3.3843613567670436
48,3205,3.2748829953198126
49,43249,4.053492566302111
50,13046,2.9461137513414073
51,236,3.5847457627118646
52,47006,4.334372207803259
53,27,2.5555555555555554
54,9320,3.541148068669528
55,150,3.6966666666666668
56,956,2.8546025104602513
57,939,3.241214057507987
58,70,1.8714285714285714
59,2439,3.324518245182452
60,11549,3.978396397956533
61,191,3.56020942408377
62,6313,3.114446380484714
63,2281,3.3231039017974573
64,19381,3.7318249832309993
65,2334,3.06662382176521
66,2086,2.829817833173538
67,4864,2.3942228618421053
68,2371,2.144242935470266
69,170,3.35
70,1238,3.4369951534733443
71,4288,3.560634328358209
72,12712,3.2774543738200124
73,1295,2.3552123552123554
74,1230,3.502439024390244
75,2955,3.8067681895093064
76,3514,3.3022196926579395
77,558,2.4623655913978495
78,3380,3.0090236686390535
79,221,3.429864253393665
80,1226,3.180668841761827
81,5535,3.1285456187895213
82,575,3.7243478260869565
83,3209,3.267373013399813
84,2538,4.004925137903862
85,594,3.653198653198653
86,158,3.4177215189873418
87,2714,3.531134856300663
88,4308,3.483402971216342
89,976,2.3596311475409837
90,4864,3.1076274671052633
91,3247,3.139821373575608
92,214,3.357476635514019
94,2303,2.8541033434650456
95,1966,2.528738555442523
96,4030,3.526923076923077
97,22104,3.0946435034382915
98,483,3.6873706004140785
99,1963,3.9964340295466125
100,81,2.4876543209876543
101,726,3.105371900826446
102,4115,3.22138517618469
103,4298,3.786295951605398
104,1992,2.4294678714859437
105,1133,3.2691968225948806
106,17915,3.4170806586659226
107,9620,3.326299376299376
108,134,3.4440298507462686
109,6376,3.2153387703889584
110,125,3.092
111,16,2.0625
112,53769,4.042533802004873
113,24481,4.110575548384461
114,11890,3.412573591253154
115,1089,3.1092745638200183
116,247,3.619433198380567
117,38,3.4078947368421053
118,949,3.9373024236037937
119,1264,3.589398734177215
120,1136,3.0110035211267605
